Unnamed Column,address_1,case_number,city,clearance_type,country,created_at,day_of_week,hour_of_day,incident_datetime,incident_description,incident_id,incident_type_primary,latitude,location,longitude,parent_incident_type,state,updated_at,zip
865,100 Block E 300 N,15JC1597,MONA,,,11/09/2015 06:49:28 AM,Friday,11,11/06/2015 11:11:16 AM,Description: Citizen Assist,736549135,CITIZEN ASSIST,39.8118,"{'type': 'Point', 'coordinates': [-111.852, 39.8118]}",-111.852,Community Policing,UT,11/19/2015 09:00:11 AM,
866,225000 Block I15 NB,15JC1605,NEPHI,,,11/10/2015 06:49:24 AM,Saturday,7,11/07/2015 07:11:43 AM,Description: Citizen Assist,736622137,CITIZEN ASSIST,39.7073,"{'type': 'Point', 'coordinates': [-111.818, 39.707300000000004]}",-111.818,Community Policing,UT,11/20/2015 09:00:06 AM,
867,400 Block MAIN ST,15JC1610,LEVAN,,,11/10/2015 06:49:24 AM,Saturday,20,11/07/2015 08:11:44 PM,Description: Traffic Offense,736622140,TRAFFIC OFFENSE,39.5516,"{'type': 'Point', 'coordinates': [-111.864, 39.5516]}",-111.864,Traffic,UT,11/20/2015 09:00:07 AM,
868,400 Block MAIN ST,15JC1609,LEVAN,,,11/10/2015 06:49:24 AM,Saturday,20,11/07/2015 08:11:49 PM,Description: Traffic Offense,736622138,TRAFFIC OFFENSE,39.5516,"{'type': 'Point', 'coordinates': [-111.864, 39.5516]}",-111.864,Traffic,UT,11/20/2015 09:00:07 AM,
869,200 Block S 100 WEST ST,15JC1618,MONA,,,11/14/2015 06:49:04 AM,Monday,20,11/09/2015 08:11:42 PM,Description: Citizen Assist,737203155,CITIZEN ASSIST,39.8121,"{'type': 'Point', 'coordinates': [-111.857, 39.8121]}",-111.857,Community Policing,UT,11/22/2015 09:00:15 AM,
870,114000 Block US6,15JC1633,JUAB CO NEP GR,,,11/15/2015 06:48:34 AM,Thursday,16,11/12/2015 04:11:32 PM,Description: Animal Problem,737270090,ANIMAL PROBLEM,39.6401,"{'type': 'Point', 'coordinates': [-112.305, 39.6401]}",-112.305,Community Policing,UT,11/25/2015 09:00:17 AM,
871,100 Block CLARK DR,15JC1640,EUREKA,,,11/16/2015 06:48:23 AM,Friday,19,11/13/2015 07:11:34 PM,Description: Citizen Dispute,737385059,CITIZEN DISPUTE,39.9581,"{'type': 'Point', 'coordinates': [-112.113, 39.9581]}",-112.113,Community Policing,UT,11/26/2015 09:00:11 AM,
872,208900 Block I15 SB,15JC1641,JUAB CO NEP GR,,,11/16/2015 06:48:23 AM,Friday,22,11/13/2015 10:11:31 PM,Description: Citizen Assist,737385060,CITIZEN ASSIST,39.5161,"{'type': 'Point', 'coordinates': [-111.964, 39.5161]}",-111.964,Community Policing,UT,11/26/2015 09:00:11 AM,
873,36000 Block SR28,15JC1646,JUAB CO NEP GR,,,11/17/2015 06:48:18 AM,Saturday,13,11/14/2015 01:11:08 PM,Description: Traffic Offense,737525791,TRAFFIC OFFENSE,39.6458,"{'type': 'Point', 'coordinates': [-111.861, 39.6458]}",-111.861,Traffic,UT,11/27/2015 09:00:13 AM,
874,213000 Block I15 NB,15JC1651,JUAB CO LEV GR,,,11/18/2015 06:48:12 AM,Saturday,21,11/14/2015 09:11:52 PM,Description: Citizen Assist,737752038,CITIZEN ASSIST,39.5705,"{'type': 'Point', 'coordinates': [-111.937, 39.5705]}",-111.937,Community Policing,UT,11/27/2015 09:00:13 AM,
