Unnamed Column,address_1,case_number,city,clearance_type,country,created_at,day_of_week,hour_of_day,incident_datetime,incident_description,incident_id,incident_type_primary,latitude,location,longitude,parent_incident_type,state,updated_at,zip
2361,PARK AVE,18-03797,PARK CITY,,,03/07/2018 07:41:15 PM,Wednesday,11,03/07/2018 11:03:41 AM,Trespassing,836500915,TRESPASSING,40.6667,"{'type': 'Point', 'coordinates': [-111.515, 40.6667]}",-111.515,Property Crime,UT,05/10/2018 04:16:25 PM,
2362,DEER VALLEY DR & PARK AVE,18-03803,PARK CITY,,,03/07/2018 09:44:49 PM,Wednesday,14,03/07/2018 02:03:11 PM,Traffic Stop,836507780,TRAFFIC STOP,40.6565,"{'type': 'Point', 'coordinates': [-111.507, 40.6565]}",-111.507,Vehicle Stop,UT,05/10/2018 04:16:25 PM,
2363,BONANZA DR,A08-00778,PARK CITY,,,03/29/2016 07:09:54 AM,Friday,17,01/11/2008 05:01:16 PM,Theft,754597760,THEFT,40.6597795,"{'type': 'Point', 'coordinates': [-111.5015142, 40.6597795]}",-111.5015142,Theft,UT,03/31/2016 09:32:39 AM,84060
2364,2800 Block AMERICAN SADDLER DR,A08-20132,PARK CITY,,,03/28/2016 07:09:43 AM,Friday,20,10/31/2008 08:10:21 PM,Suspicious,754190456,SUSPICIOUS,40.6803,"{'type': 'Point', 'coordinates': [-111.502513, 40.6803]}",-111.502513,Disorder,UT,03/31/2016 09:32:39 AM,84060
2365,2300 Block COMSTOCK DR,A09-15680,PARK CITY,,,03/29/2016 07:09:54 AM,Wednesday,15,08/26/2009 03:08:59 PM,Keep the Peace,754597761,KEEP THE PEACE,40.667373,"{'type': 'Point', 'coordinates': [-111.492291, 40.667373]}",-111.492291,Disorder,UT,03/31/2016 09:32:39 AM,84060
2366,9200 Block MARSAC AVE,16-05356,PARK CITY,,,03/19/2016 07:08:15 AM,Wednesday,13,03/16/2016 01:03:32 PM,Theft,753193068,THEFT,40.6151,"{'type': 'Point', 'coordinates': [-111.51, 40.6151]}",-111.51,Theft,UT,03/31/2016 09:32:34 AM,
2367,1900 Block PROSPECTOR AVE,16-16837,PARK CITY,,,09/28/2016 07:32:48 AM,Monday,21,09/26/2016 09:09:00 PM,Crim Mischief,774138034,CRIM MISCHIEF,40.6628,"{'type': 'Point', 'coordinates': [-111.496, 40.6628]}",-111.496,Property Crime,UT,10/04/2016 09:37:36 AM,
2368,1800 Block HOMESTAKE RD,16-16894,PARK CITY,,,09/28/2016 07:32:48 AM,Tuesday,8,09/27/2016 08:09:00 AM,Suspicious,774138091,SUSPICIOUS,40.6598,"{'type': 'Point', 'coordinates': [-111.507, 40.6598]}",-111.507,Disorder,UT,10/04/2016 09:37:38 AM,
2369,SIDEWINDER DR & WYATT EARP WAY,16-16832,PARK CITY,,,09/28/2016 07:32:48 AM,Tuesday,8,09/27/2016 08:09:48 AM,Traffic Stop,774138029,TRAFFIC STOP,40.6671,"{'type': 'Point', 'coordinates': [-111.485, 40.6671]}",-111.485,Vehicle Stop,UT,10/04/2016 09:37:36 AM,
2370,DEER VALLEY DR & AMBER RD,16-16839,PARK CITY,,,09/28/2016 07:32:48 AM,Tuesday,9,09/27/2016 09:09:27 AM,Traffic Stop,774138036,TRAFFIC STOP,40.6441,"{'type': 'Point', 'coordinates': [-111.484, 40.6441]}",-111.484,Vehicle Stop,UT,10/04/2016 09:37:36 AM,
2371,1500 Block DEER VALLEY DR N,16-16840,PARK CITY,,,09/28/2016 07:32:48 AM,Tuesday,9,09/27/2016 09:09:43 AM,Traffic Stop,774138037,TRAFFIC STOP,40.644,"{'type': 'Point', 'coordinates': [-111.482, 40.644]}",-111.482,Vehicle Stop,UT,10/04/2016 09:37:36 AM,
2372,1400 Block DEER VALLEY DR N,16-16842,PARK CITY,,,09/28/2016 07:32:48 AM,Tuesday,9,09/27/2016 09:09:57 AM,Traffic Stop,774138039,TRAFFIC STOP,40.6437,"{'type': 'Point', 'coordinates': [-111.483, 40.6437]}",-111.483,Vehicle Stop,UT,10/04/2016 09:37:36 AM,
2373,KEARNS BLVD & COMSTOCK DR,16-16886,PARK CITY,,,09/28/2016 07:32:48 AM,Tuesday,22,09/27/2016 10:09:04 PM,Traffic Stop,774138083,TRAFFIC STOP,40.668,"{'type': 'Point', 'coordinates': [-111.492, 40.668]}",-111.492,Vehicle Stop,UT,10/04/2016 09:37:38 AM,
2374,1300 Block LOWELL AVE,16-05299,PARK CITY,,,03/18/2016 07:08:01 AM,Thursday,16,03/17/2016 04:03:00 PM,Disorderly,753036077,DISORDERLY,40.6511,"{'type': 'Point', 'coordinates': [-111.506, 40.6511]}",-111.506,Disorder,UT,03/31/2016 09:32:34 AM,
2375,500 Block MAIN ST,16-05330,PARK CITY,,,03/18/2016 07:08:01 AM,Friday,0,03/18/2016 12:03:34 AM,Public Urinatio,753036108,PUBLIC URINATIO,40.6442,"{'type': 'Point', 'coordinates': [-111.496, 40.6442]}",-111.496,Disorder,UT,03/31/2016 09:32:34 AM,
2376,2500 Block KEARNS BLVD,16-05357,PARK CITY,,,03/19/2016 07:08:15 AM,Friday,14,03/18/2016 02:03:33 PM,Drugs,753193069,DRUGS,40.6694,"{'type': 'Point', 'coordinates': [-111.49, 40.6694]}",-111.49,Drugs,UT,03/31/2016 09:32:34 AM,
2377,700 Block PARK AVE,16-05359,PARK CITY,,,03/19/2016 07:08:15 AM,Friday,16,03/18/2016 04:03:28 PM,Non Injury Acci,753193071,NON INJURY ACCI,40.6465,"{'type': 'Point', 'coordinates': [-111.499, 40.6465]}",-111.499,Traffic,UT,03/31/2016 09:32:34 AM,
2378,1600 Block LOWER IRON HORSE LOOP RD,16-05428,PARK CITY,,,03/20/2016 07:08:20 AM,Saturday,13,03/19/2016 01:03:10 PM,Crim Mischief,753258477,CRIM MISCHIEF,40.6594,"{'type': 'Point', 'coordinates': [-111.501, 40.6594]}",-111.501,Property Crime,UT,03/31/2016 09:32:34 AM,
2379,2200 Block JUPITER VIEW DR,16-16855,PARK CITY,,,09/28/2016 07:32:48 AM,Wednesday,18,09/21/2016 06:09:00 PM,Burglary,774138052,BURGLARY,40.6674,"{'type': 'Point', 'coordinates': [-111.513, 40.6674]}",-111.513,Breaking & Entering,UT,10/22/2016 09:33:19 AM,
2380,300 Block MAIN ST,16-16849,PARK CITY,,,09/28/2016 07:32:48 AM,Friday,23,09/23/2016 11:09:00 PM,Trespassing,774138046,TRESPASSING,40.6425,"{'type': 'Point', 'coordinates': [-111.496, 40.6425]}",-111.496,Property Crime,UT,11/04/2016 09:31:04 AM,
