column 1,address_1,case_number,city,clearance_type,created_at,day_of_week,hour_of_day,incident_datetime,incident_description,incident_id,incident_type_primary,latitude,location,longitude,parent_incident_type,state,updated_at,zip
326,1200 Block S COMMERCE WAY,16-P00927,PERRY,,07/31/2016 10:27:20 AM,Saturday,11,07/30/2016 11:48:06 AM,Disorderly,766526053,Disorderly,41.4839984,"{'type': 'Point', 'coordinates': [-112.0300623, 41.4839984]}",-112.0300623,Disorder,UT,09/29/2016 02:16:10 PM,84302
327,700 Block W 2950 S,15-P00202,PERRY,,03/13/2015 07:50:29 PM,Wednesday,19,02/25/2015 07:40:20 PM,Vandalism,709376920,Vandalism,41.456751,"{'type': 'Point', 'coordinates': [-112.034081, 41.456751]}",-112.034081,Property Crime,UT,04/26/2015 12:32:37 PM,84302
328,1200 Block S COMMERCE WAY,15-P00206,PERRY,,03/13/2015 07:50:29 PM,Friday,10,02/27/2015 10:15:12 AM,Theft,709376923,Theft,41.4841229,"{'type': 'Point', 'coordinates': [-112.0303556, 41.4841229]}",-112.0303556,Theft,UT,04/28/2015 12:32:22 PM,84302
329,1200 Block S COMMERCE WAY,15-P00229,PERRY,,03/13/2015 07:50:29 PM,Friday,16,03/06/2015 04:40:41 PM,Theft,709376943,Theft,41.4841229,"{'type': 'Point', 'coordinates': [-112.0303556, 41.4841229]}",-112.0303556,Theft,UT,05/05/2015 12:32:34 PM,84302
330,1000 Block W 3600 S,15-P00234,PERRY,,03/13/2015 07:50:29 PM,Saturday,13,03/07/2015 01:51:22 PM,Hit & Run PD,709376948,Hit & Run PD,41.4446163,"{'type': 'Point', 'coordinates': [-112.0409375, 41.4446163]}",-112.0409375,Traffic,UT,05/06/2015 12:32:39 PM,84302
331,600 Block S MAIN ST,15-P00236,WILLARD,,03/13/2015 07:50:29 PM,Saturday,21,03/07/2015 09:05:22 PM,Reckless Drivin,709376950,Reckless Drivin,41.3994496,"{'type': 'Point', 'coordinates': [-112.0348794, 41.3994496]}",-112.0348794,Traffic,UT,05/06/2015 12:32:41 PM,84340
332,100 Block S MAIN ST,15-P00237,WILLARD,,03/13/2015 07:50:29 PM,Saturday,23,03/07/2015 11:03:21 PM,Family Fight,709376951,Family Fight,41.4054521,"{'type': 'Point', 'coordinates': [-112.0361668, 41.4054521]}",-112.0361668,Family Offense,UT,05/06/2015 12:32:41 PM,84340
333,2400 Block S PEACH ST,15-P00243,PERRY,,03/13/2015 07:50:29 PM,Monday,10,03/09/2015 10:21:59 AM,Hit & Run PD,709376956,Hit & Run PD,41.464816,"{'type': 'Point', 'coordinates': [-112.026947, 41.464816]}",-112.026947,Traffic,UT,05/08/2015 12:32:35 PM,84302
334,1200 Block S COMMERCE WAY,15-P00257,PERRY,,03/13/2015 07:50:29 PM,Thursday,16,03/12/2015 04:45:08 PM,Theft,709376967,Theft,41.4841229,"{'type': 'Point', 'coordinates': [-112.0303556, 41.4841229]}",-112.0303556,Theft,UT,05/11/2015 12:34:42 PM,84302
335,1200 Block S COMMERCE WAY,15-P00260,PERRY,,03/14/2015 09:10:04 AM,Friday,16,03/13/2015 04:50:37 PM,Theft,709819393,Theft,41.4841229,"{'type': 'Point', 'coordinates': [-112.0303556, 41.4841229]}",-112.0303556,Theft,UT,05/12/2015 12:33:53 PM,84302
336,1400 Block W 3550 S,16-P00980,PERRY,,08/06/2016 10:28:19 AM,Friday,10,08/05/2016 10:50:57 AM,Keep The Peace,767078144,Keep The Peace,41.4455918,"{'type': 'Point', 'coordinates': [-112.0489204, 41.4455918]}",-112.0489204,Disorder,UT,10/04/2016 12:35:58 PM,84302
337,2300 Block S 900 W,15-P00276,PERRY,,03/18/2015 09:10:10 AM,Tuesday,18,03/17/2015 06:27:17 PM,Family Fight,710099516,Family Fight,41.4671116,"{'type': 'Point', 'coordinates': [-112.0353467, 41.4671116]}",-112.0353467,Family Offense,UT,05/16/2015 12:34:19 PM,84302
338,1200 Block W DAVIS DR,15-P00282,PERRY,,03/20/2015 09:10:15 AM,Thursday,16,03/19/2015 04:42:21 PM,Theft,710243854,Theft,41.4736932,"{'type': 'Point', 'coordinates': [-112.0532157, 41.4736932]}",-112.0532157,Theft,UT,05/18/2015 12:31:07 PM,84302
339,600 Block W 2700 S,15-P00287,PERRY,,03/21/2015 09:10:13 AM,Friday,9,03/20/2015 09:07:38 AM,Fraud,710484739,fraud,41.460888,"{'type': 'Point', 'coordinates': [-112.031719, 41.460888]}",-112.031719,Theft,UT,05/19/2015 12:30:53 PM,84302
340,3000 Block S PERRY ST,15-P00296,PERRY,,03/24/2015 09:10:20 AM,Monday,9,03/23/2015 09:32:24 AM,Fraud,710686900,fraud,41.455246,"{'type': 'Point', 'coordinates': [-112.044225, 41.455246]}",-112.044225,Theft,UT,05/22/2015 12:31:22 PM,84302
341,1200 Block S COMMERCE WAY,16-P01088,PERRY,,08/17/2016 10:30:02 AM,Tuesday,17,08/16/2016 05:39:40 PM,Fraud,768004156,fraud,41.4839984,"{'type': 'Point', 'coordinates': [-112.0300623, 41.4839984]}",-112.0300623,Theft,UT,10/15/2016 12:32:20 PM,84302
342,1400 Block W 3325 S,16-P01294,PERRY,,09/03/2016 10:32:47 AM,Friday,7,09/02/2016 07:43:40 AM,Weapon Offense,770952644,Weapon Offense,41.44864,"{'type': 'Point', 'coordinates': [-112.049219, 41.44864]}",-112.049219,Weapons Offense,UT,11/01/2016 12:33:36 PM,84302
343,1200 Block S COMMERCE WAY,16-P01296,PERRY,,09/03/2016 10:32:47 AM,Friday,12,09/02/2016 12:34:08 PM,Theft,770952646,Theft,41.4839984,"{'type': 'Point', 'coordinates': [-112.0300623, 41.4839984]}",-112.0300623,Theft,UT,11/01/2016 12:33:36 PM,84302
344,1 Block W 1600 S,15-P00708,PERRY,,06/27/2015 12:34:37 PM,Friday,11,06/26/2015 11:41:38 AM,Theft,722526704,Theft,41.4804611,"{'type': 'Point', 'coordinates': [-112.0169645, 41.4804611]}",-112.0169645,Theft,UT,08/25/2015 12:31:00 PM,84302
